seller_id,name,domain,seller_type
1110,biographyer.com,biographyer.com,PUBLISHER
1111,mediascrolls.com,mediascrolls.com,PUBLISHER
1121,TunBuzz,tunbuzz.com,PUBLISHER
1124,pureBanger,purebanger.com.ng,PUBLISHER
1128,deathmilitia.com,deathmilitia.com,PUBLISHER
1132,Blogdital,blogdital.com,PUBLISHER
1134,Sapa Tv,sapatv.com.ng,PUBLISHER
1136,sportupdate.co.uk,sportupdate.co.uk,PUBLISHER
1137,442sport.co.uk,442sport.co.uk,PUBLISHER
1138,Plugupdate,plugupdate.com,PUBLISHER
1139,47simasport.com,247simasport.com,PUBLISHER
1140,fancyfactory.it,fancyfactory.it,PUBLISHER
1141,Teachmore,teachmore.com.ng,PUBLISHER
1144,Legitvibes ,legitvibes.com.ng,PUBLISHER
1146,topsport4u,topsport4u.com,PUBLISHER
1147,audiencehound,audiencehound.com,PUBLISHER
1149,test,test.com,PUBLISHER
1150,test2,test2.com,PUBLISHER
1153,TurdaNews,turdanews.net,PUBLISHER
1154,Fulloaded.com,fulloaded.com,PUBLISHER
1155,apkhitmods.net,apkhit.net,PUBLISHER
1168,Lovablevibes,lovablevibes.co,PUBLISHER
1173,Navgrace,navgraceblog.com,PUBLISHER
1177,NaijGists,naijgists.com.ng,PUBLISHER
1178,Lovablevibes.com,lovablevibes.com,PUBLISHER
1182,247simasport.com,247simasport.com,PUBLISHER
1183,nexprotocol,nexprotocol.com,PUBLISHER
1184,Celebnob,celebnob.com,PUBLISHER
1186,logo123local,logo123local.net,PUBLISHER
1187,lapsnewworldhotel,lapsnewworldhotel.net,PUBLISHER
1189,Deerunspost,deerunspost.com,PUBLISHER
1192,sportsrock.co.uk,sportsrock.co.uk,PUBLISHER
1196,Ankara styles ,ankarastyles.net,PUBLISHER
1198,loadcoded,loadcoded.com,PUBLISHER
1199,Techies Forum,forum.3ptechies.com,PUBLISHER
1202,3Ptechies,3ptechies.com,PUBLISHER
1203,Wandaland,wandaland.org,PUBLISHER
1208,suresource24,suresource24.com,PUBLISHER
1209,dailysportnews.co.uk,dailysportnews.co.uk,PUBLISHER
1214,Spicytech,spicytech.com.ng,PUBLISHER
1217,sportrealm.co.uk,sportrealm.co.uk,PUBLISHER
1221,tammysport.com,tammysport.com,PUBLISHER
1222,Runslink,runslink.com,PUBLISHER
1226,football-ranking.com,football-ranking.com,PUBLISHER
1229,Factual Gist,factualgist.com,PUBLISHER
1231,"Soccer news, EPL highlights and all football news",oofes.com,PUBLISHER
1232,Idustory,idustory.com,PUBLISHER
1233,Diyxplore,diyxplore.com,PUBLISHER
1235,Widenewspaper,widenewspaper.com,PUBLISHER
1236,Betpera,betpera.com,PUBLISHER
1238,Tech Embassy,techembassy.com.ng,PUBLISHER
1240,Fcpredict,fcpredicts.com,PUBLISHER
1242,Sports Genics,sportsgenics.com,PUBLISHER
1244,Metaphorio,metaphorio.com,PUBLISHER
1245,Pestclue,pestclue.com,PUBLISHER
1249,Usa Celeb News,usacelebnews.com,PUBLISHER
1252,Zaddygist,zaddygist.com,PUBLISHER
1254,tvacute.com,tvacute.com,PUBLISHER
1258,Fcpera,fcpera.com,PUBLISHER
1260,CoinHirek,coinhirek.com,PUBLISHER
1269,Naijablink.com,naijablink.com,PUBLISHER
1270,Homezos,homezos.com,PUBLISHER
1275,Multischolar Media,multischolar.com,PUBLISHER
